name = model_decor_sparse_t_reg_26, n_topics = 2000, n_doc_passes = 5, seed_value = 100, n_iterations = 15, n_top_tokens = 15, p_threshold = 0.25
sparse_theta_regularizer, tau = 0.1
decorrelator_phi_regularizer, tau = 100
last_perplexity_score = 449.789538458
last_sparsity_phi_score = 0.889678967528
last_sparsity_theta_score = 0.0
last_topic_kernel_avgsize = 5.6895
last_topic_kernel_purity = 0.406288950802
last_topic_kernel_contrast = 0.43322699481
perplexity_score = [17381.549243901325, 4361.011323267947, 4780.770594285123, 3887.7493084543785, 3582.1555140878845, 2049.9491312908062, 1344.6393146808173, 935.3705989412928, 742.7150716615478, 638.3155967432283, 571.8695286479468, 524.1918964127484, 491.96160910552857, 467.12317571078967, 449.78953845801266]
sparsity_phi_score = [0.0, 0.001811256574434027, 0.001811256574434027, 0.0035447633203750284, 0.006472558884061285, 0.013717670935284702, 0.023775383032243313, 0.03652532586325177, 0.060367710953578776, 0.12927729819345987, 0.31523479304825064, 0.5164976274868511, 0.7021215984450034, 0.8221531271438371, 0.8896789675280128]
sparsity_theta_score = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
topic_kernel_avgsize = [0.0, 0.0, 0.0005, 0.047, 1.001, 2.4665, 3.984, 4.725, 4.9355, 4.9535, 5.151, 5.2535, 5.414, 5.5625, 5.6895]
topic_kernel_purity = [0.0, 0.0, 0.00015648090839385985, 0.001140791954647284, 0.009903336851733911, 0.02782988910783024, 0.048928952575297446, 0.06871617414323555, 0.08874759825355431, 0.10703843402160601, 0.13174488112321298, 0.1762471349809432, 0.24360031559494383, 0.32942054162568457, 0.40628895080187793]
topic_kernel_contrast = [0.0, 0.0, 0.00019076119185820723, 0.004144167027441683, 0.03156790933157876, 0.07503681186903463, 0.1199336884460348, 0.15385152519197262, 0.18618613782575058, 0.2150106932067513, 0.24189950845562425, 0.27757127468078174, 0.32066032545614903, 0.3801227993173031, 0.43322699480956156]
topic_0: ухудшение престиж британия важный_часть работоспособность звёздочка внешний_фактор произношение неспособность материальный_ресурс осанка отличительный_признак приток разный_задача дегенерация
topic_1: название глагол прилагательное антоним часть_речь лексика существительное отрицание написание вещь различие обозначение степень ряд чувство
topic_2: книжка серия популярный_книга издательство интервью литература судьба читатель мировоззрение уравнение премия главный_редактор гарднер человеческий_история повод
topic_3: строка персональный_компьютер билл довольно_большой_количество пакет академия_наука загрузка удивительный_вещь собственность память_компьютер михайло лёт меню поставщик осень
topic_4: репарация_днк генетический_анализ резистентность геропротектор аспирин финансирование_наука секвенирование_геном новый_система заболевание новый_модель консалтинг попадание маркетинг менеджер кандидатский_диссертация
topic_5: сигнал летучий_мышь эхо импульс звук радар секунда частота инженер зрение приём передача высокий_частота свет темнота
topic_6: волков банда гражданский_кодекс данный_явление сородич теломераза поверхность_нейтронный_звезда группа_пациент подполье папа_григорий исламист синус полиненасыщенный_жирный_кислота жеребец чистый_лист
topic_7: правовед важный_концепция желаемый_результат данный_факт юридический_наука геномик конфиденциальность папа_григорий особый_качество злоупотребление всеобщность правдивость конституционный_суд технология_получение развитие_заболевание
topic_8: статистика набор круг зрительный_система распределение пик отдельность лист ягода большой_количество оценка деталь вариация ансамбль наблюдение
topic_9: рассуждение льюис логик правильность аристотель разный_наука иной_степень консенсус снег алгебра импликация лейбниц молодая_гвардия токио ложь
topic_10: татуировка находка явление письменность представитель знак символ рисунок шрам племя исследователь скиф происхождение распространение тысяча
topic_11: диалектика мефодий греческий_язык древнегреческий_язык греческий_буква азбука культурный_традиция копия_ген поведенческий_экология грызунов репродукция богатый_опыт чистый_лист первое_курс магнитофон
topic_12: гигант комфортный_условие количество_вода близнец горячее_юпитер период_существование сеанс боязнь род_система тектоника_плита визитный_карточка крупный_спутник сложный_органический_соединение водород тёмный_пятно
topic_13: галиля бог мнение утверждение диалог рассуждение способ позиция истинность понимание чудо читатель явление галилей довод
topic_14: ирландия патрик христианизация король ирландец литература бог миссионер традиция богиня христианство поэзия фольклор племя аристократия
topic_15: конструкция синтаксический_конструкция мясо петя синтаксис речь союз люба подлежащее устный_речь грамматический_значение зоопарк переход друг_друг письмо
topic_16: интеллектуал элита критика авторитет рефлексия признание убеждение плата европейский_культура герой отбор собрание субъективность интеллигенция стандарт
topic_17: планета планет звезда солнечный_система солнце юпитер гигант орбита нептун венера планетный_система меркурий наличие сатурн астрономический_единица
topic_18: старость расход большой_разница всемирный_банка истощение ввп исследовательский_деятельность крыша загрязнение_окружающий пенсионер культурный_явление устойчивый_развитие очистка шест пробел
topic_19: сигма чётность церн квантовый_флуктуация любопытный_вещь свойство_частица частица_должный бактериофаг полимераза теория_группа физика_микромир уравнение_движение факт_существование ранний_эпоха следующий_пример
topic_20: возраст рождение родитель воспитание_ребёнок отзвук ребёнок_должный мама тёмный_сила интересный_вопрос генетический_код сестра смертность большой_вероятность брак афины
topic_21: стрелец партия петра престолонаследие корпорация бунт род конец_xvii_век войско жена царь первое военный_действие казнь глава
topic_22: правило основа исключение простой качество утро название звонок правота новое микрофон способ выбор смена большинство
